px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.3243	23.9882	3.65471	0.283004	0.0516778	27.8911	-60.1923	66.0431	24.0276	2.37349	0.508655	0.665611
66.2172	23.9576	2.64911	0.303039	0.0355821	70.1034	0.348722	66.0431	24.0276	2.37349	0.508655	2.90608
68.2623	24.3607	2.61015	0.202687	-0.0504441	48.7883	-47.7432	68.4273	24.4824	2.30293	0.385623	0.0224533
68.3494	24.392	2.69531	0.206846	-0.0484752	72.9509	0.34404	68.4273	24.4824	2.30293	0.385623	1.98944
70.8194	24.8811	3.15572	0.233705	-0.000340053	68.6544	-17.4098	70.7384	24.8137	2.22347	0.265395	0.159135
70.7803	24.8658	2.5209	0.225436	-0.0312971	74.9195	0.335587	70.7384	24.8137	2.22347	0.265395	0.642311
72.891	24.7193	2.56266	-0.156578	-0.251347	66.5808	-29.6695	72.9675	25.025	2.13584	0.150292	0.136062
72.9406	24.7358	2.56581	-0.159601	-0.264542	77.2425	0.33006	72.9675	25.025	2.13584	0.150292	0.68597
74.9999	25.2468	2.24677	0.338849	0.210007	74.4008	9.47808	75.1062	25.1224	2.04114	0.0423626	0.742761
74.986	25.244	2.18384	0.335773	0.209256	79.0767	0.323504	75.1062	25.1224	2.04114	0.0423626	0.0391583
77.1133	24.946	2.34658	-0.409562	-0.385806	75.5377	-15.5539	77.1475	25.1137	1.9408	-0.0566978	0.992441
77.1373	24.9526	2.31312	-0.431017	-0.415048	81.18	0.316864	77.1475	25.1137	1.9408	-0.0566978	0.1801
79.0997	25.0169	1.78432	0.0806066	0.179425	78.7456	-7.57273	79.0861	25.0086	1.83649	-0.145607	1.45663
79.1167	25.016	1.87836	0.095377	0.197516	83.016	0.305513	79.0861	25.0086	1.83649	-0.145607	0.0545954
80.8035	24.8749	2.09952	-0.0299388	-0.00356415	78.0094	-21.0801	80.9183	24.8178	1.73008	-0.223536	0.134005
80.8503	24.882	1.82458	-0.0800222	-0.0883348	84.8682	0.297412	80.9183	24.8178	1.73008	-0.223536	1.21282
82.6103	24.6371	2.40562	-0.0852946	-0.0351146	72.7663	-39.133	82.6423	24.5525	1.6235	-0.29012	0.189241
82.5678	24.6206	1.99376	-0.196574	-0.230819	86.1583	0.292111	82.6423	24.5525	1.6235	-0.29012	0.732474
84.1683	24.5427	2.05195	-0.00237623	0.0263226	70.3006	-46.2923	84.2584	24.2245	1.51869	-0.345444	0.226373
84.1586	24.5462	1.83175	-0.033239	-0.0401063	87.7313	0.281023	84.2584	24.2245	1.51869	-0.345444	0.265502
85.6375	23.8173	1.95477	-0.528432	-0.316236	20.8579	-83.0588	85.7688	23.8451	1.41749	-0.390006	0.227216
85.6943	23.8314	2.02978	-0.522198	-0.323197	89.1957	0.269575	85.7688	23.8451	1.41749	-0.390006	0.851956
86.9456	23.5106	1.22806	-0.290294	0.0059048	-3.03415	-86.892	87.1776	23.4252	1.32159	-0.424654	0.675008
87.0681	23.5437	1.37196	-0.226981	0.0469718	90.7171	0.262181	87.1776	23.4252	1.32159	-0.424654	3.76764
88.8011	22.794	2.6458	-0.429946	-0.105822	-62.1529	-63.4546	88.4904	22.9745	1.23248	-0.450514	0.824133
88.7135	22.7518	2.36997	-0.684696	-0.437303	91.3489	0.253953	88.4904	22.9745	1.23248	-0.450514	1.47201
89.514	22.2808	0.425235	-0.726325	-0.225734	-85.0369	-27.8995	89.7145	22.5017	1.15138	-0.468904	1.81289
89.6227	22.2549	0.967755	-0.622746	-0.0456796	92.5542	0.245367	89.7145	22.5017	1.15138	-0.468904	2.83072
90.498	21.6636	1.48754	-0.431681	0.1041	-85.8188	28.7712	90.858	22.0141	1.07929	-0.481241	0.219759
90.5661	21.6794	1.50499	-0.398696	0.0830207	93.4908	0.238616	90.858	22.0141	1.07929	-0.481241	1.78413
91.7123	21.1139	1.73158	-0.239695	0.127232	-58.7269	70.4508	91.9302	21.5174	1.01698	-0.488964	0.0377598
91.7413	21.1276	1.49791	-0.412629	-0.134973	94.5333	0.229755	91.9302	21.5174	1.01698	-0.488964	2.67438
92.8542	20.9427	1.43605	-0.0799379	0.143456	-47.2133	79.9616	92.9411	21.016	0.964993	-0.493443	0.264086
92.9041	20.9711	1.18467	-0.0426835	0.0977763	95.6679	0.222074	92.9411	21.016	0.964993	-0.493443	2.75869
93.482	20.242	0.575846	-0.765735	-0.390958	19.015	91.5122	93.9011	20.513	0.92369	-0.495919	0.984832
93.5778	20.2834	1.05955	-0.551112	-0.122756	95.9592	0.215368	93.9011	20.513	0.92369	-0.495919	1.93435
95.2757	19.6479	2.85104	0.114279	0.342027	65.7986	68.971	94.8209	20.01	0.893308	-0.497439	2.42646
95.037	19.6563	1.63907	0.0235973	0.208407	96.5637	0.207415	94.8209	20.01	0.893308	-0.497439	9.974
95.5205	19.7018	0.718047	0.242362	0.213123	63.1138	71.6773	95.7116	19.5078	0.87398	-0.498816	0.492572
95.5363	19.7042	0.831893	0.243745	0.214362	97.5941	0.202002	95.7116	19.5078	0.87398	-0.498816	0.0540186
96.2516	19.2132	0.74843	-0.862823	-0.55381	91.6703	29.3822	96.5842	19.0065	0.865773	-0.500589	1.88611
96.3041	19.2491	1.04977	-0.644446	-0.333551	98.3853	0.19298	96.5842	19.0065	0.865773	-0.500589	0.871895
97.4938	18.7132	1.97867	-0.190583	0.118515	96.7966	-11.9268	97.45	18.506	0.868716	-0.503009	1.26796
97.4048	18.7179	1.54029	-0.367626	-0.17865	99.212	0.184218	97.45	18.506	0.868716	-0.503009	1.6883
98.2142	18.3681	1.17376	-0.3139	-0.051011	87.3084	-44.9727	98.3198	18.0049	0.882805	-0.506023	0.0965208
98.2281	18.3759	1.06641	-0.357726	-0.121878	100.077	0.182427	98.3198	18.0049	0.882805	-0.506023	0.369897
99.0368	17.3773	1.55464	-1.11813	-0.491118	7.7387	-98.7335	99.2049	17.503	0.908006	-0.509278	0.531114
99.0471	17.4157	1.51628	-0.755916	-0.0491522	100.478	0.172988	99.2049	17.503	0.908006	-0.509278	0.770395
99.9835	16.9645	0.981282	-0.406691	0.19156	-28.646	-95.8059	100.117	17.0001	0.944242	-0.512134	0.638611
100.065	16.9783	1.04381	-0.346439	0.224088	101.861	0.167202	100.117	17.0001	0.944242	-0.512134	1.8161
101.191	16.537	1.72119	-0.129743	0.218502	-68.3838	-74.6047	101.065	16.497	0.991362	-0.513687	0.224039
101.142	16.5265	1.35972	-0.273394	0.0454875	102.496	0.161047	101.065	16.497	0.991362	-0.513687	0.722394
102.375	16.3923	1.8015	0.112417	0.23825	-78.8829	-65.2729	102.063	15.9949	1.04911	-0.512803	0.230424
102.273	16.3846	1.25162	0.107245	0.224372	103.302	0.153904	102.063	15.9949	1.04911	-0.512803	1.88892
103.011	15.397	0.66684	-1.14106	-0.634983	-96.5828	35.7975	103.119	15.4967	1.11708	-0.508169	2.38142
102.976	15.4604	1.23383	-0.600031	0.013013	103.882	0.146064	103.119	15.4967	1.11708	-0.508169	3.86885
104.093	15.2505	1.46099	0.119093	0.430723	-94.3244	44.0762	104.244	15.0064	1.19469	-0.498349	0.789279
104.04	15.2453	1.32646	0.0832362	0.410015	104.948	0.141115	104.244	15.0064	1.19469	-0.498349	0.624775
105.53	14.4758	1.81129	-0.876495	-0.392751	-31.6009	100.699	105.447	14.5293	1.28111	-0.481861	1.88332
105.479	14.4813	1.86387	-0.765055	-0.26204	106.243	0.132183	105.447	14.5293	1.28111	-0.481861	0.77797
106.814	14.0279	1.36189	-0.303185	0.199077	9.49296	106.409	106.737	14.0724	1.37529	-0.457255	1.18767
106.772	14.004	1.52868	-0.298046	0.255228	107.387	0.132997	106.737	14.0724	1.37529	-0.457255	1.38292
108.078	13.6596	1.80722	-0.012684	0.273837	49.6005	96.0305	108.122	13.644	1.47592	-0.423202	0.0427089
108.078	13.6609	1.69856	-0.0235196	0.255353	108.994	0.125884	108.122	13.644	1.47592	-0.423202	0.0854311
109.531	13.5742	1.9066	0.0758063	0.161988	58.7211	92.4641	109.606	13.2536	1.58144	-0.378583	0.0473886
109.486	13.5676	1.64556	0.0571819	0.146036	110.176	0.119691	109.606	13.2536	1.58144	-0.378583	0.424097
111.057	12.6073	1.91168	-0.955245	-0.548209	111.05	1.66808	111.196	12.9118	1.69008	-0.322574	1.38622
111.144	12.6528	2.38314	-0.671181	-0.17009	112.176	0.115752	111.196	12.9118	1.69008	-0.322574	2.14818
112.903	12.4667	1.47825	-0.0611895	0.319648	112.564	-8.87036	112.893	12.6299	1.7999	-0.254723	1.50684
112.914	12.447	1.77092	-0.0392403	0.348614	113.524	0.113206	112.893	12.6299	1.7999	-0.254723	0.45678
114.788	12.5482	2.46385	0.29105	0.335182	114.787	-1.8139	114.699	12.4195	1.90891	-0.175007	0.294495
114.794	12.5538	2.111	0.301088	0.370886	115.575	0.106789	114.699	12.4195	1.90891	-0.175007	0.362191
116.679	12.1198	2.05617	-0.341589	-0.241607	104.411	-52.0977	116.611	12.2921	2.01507	-0.0838683	1.09324
116.721	12.1321	2.33737	-0.268319	-0.153073	117.492	0.102877	116.611	12.2921	2.01507	-0.0838683	0.423066
118.94	11.9934	2.79116	0.0748552	0.164294	100.439	-63.7324	118.628	12.2586	2.11648	0.0177712	0.482256
118.909	12.0002	2.40016	0.104623	0.182332	119.496	0.10401	118.628	12.2586	2.11648	0.0177712	0.419305
120.697	12.2926	2.2979	0.267025	0.169732	116.174	-32.7246	120.743	12.3289	2.21139	0.128528	0.0081888
120.741	12.2968	2.34142	0.265829	0.16935	121.547	0.100463	120.743	12.3289	2.21139	0.128528	0.456057
123.542	12.8294	3.67435	0.0455263	-0.0774838	119.309	32.1644	122.95	12.5114	2.29835	0.246599	1.33225
123.442	12.81	2.76734	-0.0326552	-0.155569	123.802	0.103327	122.95	12.5114	2.29835	0.246599	2.47929
124.906	12.7719	2.04833	-0.100618	-0.100711	122.204	25.7812	125.242	12.8125	2.37624	0.369827	0.416739
125.012	12.784	2.69397	-0.0864968	-0.0676148	126.048	0.103291	125.242	12.8125	2.37624	0.369827	2.44603
127.835	13.3187	3.50595	0.457951	0.319341	92.5933	88.164	127.609	13.2365	2.44434	0.495787	0.927392
127.76	13.3194	3.06788	0.524513	0.423605	128.183	0.102792	127.609	13.2365	2.44434	0.495787	1.26479
129.951	13.7118	2.20972	0.240313	-0.0251708	55.4516	117.522	130.042	13.7853	2.50232	0.621879	0.896719
130.035	13.7264	2.51067	0.225967	-0.0454152	131.061	0.105345	130.042	13.7853	2.50232	0.621879	1.44546
132.089	14.5034	2.72168	0.36528	0.0716153	-47.7484	123.16	132.53	14.458	2.55028	0.74543	0.0641651
132.156	14.5102	2.8498	0.353952	0.0595503	133.221	0.107867	132.53	14.458	2.55028	0.74543	1.02437
135.054	15.0481	3.75944	-0.00360745	-0.205313	-106.667	82.8674	135.066	15.2513	2.58865	0.863795	0.784951
135.038	15.0334	3.04102	-0.0907112	-0.316143	135.919	0.10805	135.066	15.2513	2.58865	0.863795	0.96696
137.56	16.1993	2.85703	0.621721	0.338671	-120.274	-66.7619	137.639	16.1592	2.61821	0.974442	1.24337
137.59	16.1955	3.25228	0.544037	0.230496	138.64	0.119401	137.639	16.1592	2.61821	0.974442	0.320135
140.323	17.014	3.22395	0.201939	-0.14582	-37.5308	-135.22	140.242	17.1733	2.63994	1.07503	0.51253
140.325	17.0108	3.10224	0.205373	-0.137004	141.397	0.124353	140.242	17.1733	2.63994	1.07503	0.0837515
142.886	17.987	3.28783	0.384332	0.0654642	93.4718	-108.075	142.868	18.2829	2.65497	1.16346	0.13442
142.838	17.982	3.14039	0.396441	0.0823421	143.775	0.126547	142.868	18.2829	2.65497	1.16346	0.521877
145.385	19.1603	3.52836	0.401499	0.0319192	138.368	44.6458	145.51	19.4754	2.66445	1.23795	0.105484
145.456	19.1707	3.32724	0.425021	0.0991409	147.072	0.132147	145.51	19.4754	2.66445	1.23795	1.84333
148.24	20.473	3.89137	0.397758	0.0169796	-8.15097	148.027	148.163	20.7364	2.66951	1.29702	0.232442
148.213	20.4705	3.31218	0.478323	0.170831	149.619	0.140401	148.163	20.7364	2.66951	1.29702	0.677673
150.679	22.1113	3.71986	0.61671	0.148725	-149.546	-18.4997	150.825	22.0502	2.67111	1.33953	0.103318
150.662	22.1093	3.6283	0.640065	0.189232	152.221	0.143805	150.825	22.0502	2.67111	1.33953	0.0653488
153.416	23.4945	3.54131	0.398309	-0.0848113	-10.8968	-153.035	153.491	23.3999	2.66999	1.3647	0.30097
153.396	23.4849	3.22945	0.463571	0.0140575	155.166	0.148199	153.491	23.3999	2.66999	1.3647	0.276582
156.039	24.8066	3.64481	0.402182	-0.0348015	147.912	-49.7238	156.159	24.7682	2.66666	1.37208	0.123258
156.023	24.8055	3.09785	0.456539	0.0783504	158.01	0.15932	156.159	24.7682	2.66666	1.37208	0.520487
158.888	26.0275	3.95631	0.307603	-0.0692681	99.0207	124.281	158.827	26.1372	2.66127	1.36157	0.556178
158.897	26.0266	3.44379	0.33668	0.00483786	161.156	0.163239	158.827	26.1372	2.66127	1.36157	0.783492
161.411	27.4231	3.53468	0.527617	0.122894	-106.684	121.129	161.493	27.4891	2.65371	1.33344	0.0429523
161.44	27.4319	3.21967	0.566153	0.201264	163.911	0.170709	161.493	27.4891	2.65371	1.33344	0.47199
