9.95941	-0.690878	7.75	-6.4	1.81709	0.908549
10.1984	-0.663884	8	-6.25	2.72931	1.81954
10.1836	-0.632288	8.25	-6.05	1.99977	1.99976
10.3458	-0.606064	8.5	-5.9	2.72796	0.909326
10.4847	-0.579689	8.75	-5.75	1.81776	1.81775
10.6216	-0.5556	8.95	-5.55	1.99657	1.99656
10.4783	-0.529976	9.2	-5.4	2.72728	0.909094
10.7468	-0.506831	9.45	-5.25	1.81816	1.81815
11.0251	-0.485669	9.65	-5.05	1.82036	1.82036
11.0505	-0.456323	9.85	-4.85	1.81578	1.81577
10.9882	-0.426704	10.05	-4.6	1.82039	2.7306
11.0542	-0.396158	10.25	-4.3	1.81769	2.72652
11.372	-0.37096	10.45	-4.05	1.81792	1.81792
11.3808	-0.345253	10.65	-3.85	1.81903	1.81904
11.3814	-0.322404	10.8	-3.6	0.909773	2.72931
11.4462	-0.292989	10.95	-3.3	1.99953	2.99928
11.5123	-0.262561	11.1	-3	0.907725	2.72317
11.4671	-0.236058	11.2	-2.7	0.908929	2.72678
11.3669	-0.209323	11.2	-2.4	-0.909276	2.72782
11.3977	-0.185161	11.25	-2.1	1.81915	2.72871
11.4428	-0.157524	11.35	-1.8	0	2.73035
11.156	-0.129749	11.3	-1.5	-0.999165	2.99748
11.2341	-0.110312	11.2	-1.25	-0.909822	1.81964
10.8931	-0.0853934	11.05	-0.95	-1.99817	3.99632
10.881	-0.0609808	10.9	-0.649999	-0.908549	1.8171
10.8539	-0.0403174	10.75	-0.45	-1.8174	1.81738
10.5091	-0.0233211	10.5	-0.25	-2.72796	1.81864
10.4887	-0.00774292	10.25	-0.0999996	-1.81964	0.909826
9.92588	0.000398758	10	9.49949e-07	-2.73049	0.910169
9.63991	0.00607597	9.7	0.0500011	-2.72439	0
9.3231	0.0120556	9.4	0.100001	-2.72773	0.90923
9.06362	0.022153	9.1	0.2	-2.72652	0.908843
8.90542	0.0277555	8.85	0.25	-1.81847	0
8.46751	0.0305697	8.55	0.25	-3.6326	0
8.05524	0.0300307	8.2	0.25	-2.72841	0
7.78925	0.0264196	7.9	0.2	-2.72708	-0.909025
7.77406	0.0124693	7.6	0.100001	-2.73169	-0.910554
7.15342	0.00594389	7.3	0.0500011	-2.99789	0
7.1723	-0.00654331	7.05	-0.0499995	-1.81811	-1.81813
6.83466	-0.0366127	6.85	-0.25	-1.81646	-1.81646
6.76349	-0.0677279	6.65	-0.45	-1.81901	-1.819
6.60824	-0.114463	6.5	-0.749999	-0.909789	-3.63914
6.53751	-0.171029	6.4	-1.1	-1.0002	-3.00061
6.5388	-0.210302	6.3	-1.35	-1.00035	-2.00072
6.45227	-0.252379	6.25	-1.6	0	-2.99288
6.69539	-0.29245	6.3	-1.9	0.909739	-2.72921
6.91179	-0.333634	6.35	-2.2	0	-2.72782
6.75717	-0.381912	6.35	-2.55	0	-3.63689
7.08951	-0.424996	6.4	-2.9	0.908854	-2.72658
7.23743	-0.457996	6.5	-3.2	0.908863	-2.72658
7.57641	-0.485339	6.6	-3.5	0.908714	-2.72613
7.7195	-0.517274	6.7	-3.8	0.909565	-2.72871
7.86967	-0.543033	6.8	-4.1	0.908566	-2.72568
8.40442	-0.563739	6.95	-4.4	1.81821	-2.72732
8.42068	-0.584245	7.1	-4.7	0.91085	-2.73253
8.79053	-0.601801	7.2	-4.95	1.00033	-2.00068
8.83775	-0.614588	7.35	-5.2	1.9976	-2.9964
9.16064	-0.628545	7.5	-5.45	0.908252	-1.8165
9.23072	-0.641835	7.65	-5.7	1.81785	-2.72677
9.88168	-0.653279	7.8	-5.95	0.909078	-1.81815
10.0026	-0.661119	7.95	-6.2	1.8197	-2.72955
10.5053	-0.671666	8.15	-6.5	1.8187	-2.72807
10.7287	-0.683001	8.3	-6.75	0.908979	-1.81795
10.7785	-0.696037	8.4	-7	0.909094	-2.72732
11.2099	-0.704456	8.55	-7.3	1.81751	-2.72628
11.7082	-0.715625	8.7	-7.55	0.908615	-1.81723
11.6937	-0.721585	8.85	-7.8	1.8215	-2.73224
12.2718	-0.734453	9	-8.1	0.999025	-2.99707
12.4149	-0.743549	9.1	-8.35	0.908285	-1.81657
12.6031	-0.750086	9.2	-8.6	0.91012	-2.73036
12.8797	-0.763778	9.3	-8.9	0.909524	-2.72856
13.1448	-0.77402	9.4	-9.2	0.999066	-2.99725
13.4009	-0.784169	9.5	-9.5	0.909706	-2.7291
13.6665	-0.79492	9.6	-9.8	1.00048	-3.00143
13.8463	-0.803265	9.7	-10.05	0.998785	-1.99755
14.223	-0.812853	9.75	-10.3	0	-2.72851
14.5847	-0.825059	9.8	-10.6	0.909012	-2.72704
14.7085	-0.837569	9.85	-10.9	0	-3.00318
14.7337	-0.847854	9.85	-11.2	0	-3.00013
15.0821	-0.863946	9.85	-11.5	0	-2.99592
15.2386	-0.875133	9.8	-11.75	-0.908731	-1.81746
15.5821	-0.891812	9.7	-12	-0.909591	-2.72875
15.5818	-0.909263	9.6	-12.3	-0.908879	-2.72667
15.6094	-0.92684	9.45	-12.55	-1.82006	-1.82006
15.647	-0.945318	9.2	-12.75	-3.00047	-2.00033
15.5629	-0.965203	8.95	-12.9	-1.81543	-0.907707
15.6346	-0.983091	8.7	-13.05	-2.73134	-1.82089
15.4056	-1.00393	8.4	-13.15	-2.99683	0
15.3433	-1.01881	8.1	-13.2	-2.72707	-0.909028
15.5514	-1.04048	7.8	-13.25	-2.7295	0
15.2679	-1.05671	7.5	-13.25	-2.99994	0
15.0325	-1.07149	7.2	-13.2	-2.72698	0.908995
14.707	-1.09054	6.85	-13.15	-3.63709	0
14.7389	-1.11096	6.5	-13.1	-3.0006	1.00018
14.5358	-1.1248	6.25	-13.05	-1.81729	0
14.2651	-1.13707	6	-12.95	-2.72861	1.81906
14.0885	-1.15135	5.7	-12.8	-2.99988	0.999964
13.857	-1.16639	5.45	-12.7	-2.00001	1
13.6105	-1.17364	5.25	-12.55	-1.99732	1.99733
13.5812	-1.18332	5.05	-12.35	-1.8206	1.82059
13.1093	-1.18836	4.85	-12.1	-1.9998	2.99969
12.6605	-1.19538	4.7	-11.85	-1.00002	2.00003
12.5025	-1.19544	4.6	-11.6	-0.998955	2.99688
12.067	-1.19146	4.5	-11.3	-1.00106	3.00319
11.9516	-1.19047	4.45	-11.05	0	1.8168
11.5778	-1.18044	4.45	-10.8	0	3.00139
11.4567	-1.17215	4.45	-10.55	0	2.00041
11.1439	-1.15943	4.5	-10.3	0.999584	2.99875
10.9977	-1.14265	4.55	-10	0	2.72717
10.7057	-1.12424	4.65	-9.7	1.8193	2.72895
10.4189	-1.09757	4.8	-9.4	1.00006	3.00019
10.4688	-1.07438	4.95	-9.15	2.00004	2.00005
10.323	-1.05092	5.1	-8.9	0.999704	2.99911
10.3067	-1.02629	5.25	-8.65	1.81848	1.81849
9.90444	-0.995544	5.45	-8.4	2.00068	3.00103
